Date,Clicks,Impressions,CTR,Position
2026-02-28,2,42,4.76%,2.9
2026-03-01,3,17,17.65%,1
2026-03-02,0,6,0%,1.2
2026-03-03,0,3,0%,1
2026-03-04,0,2,0%,1
2026-03-05,0,1,0%,1
2026-03-06,0,1,0%,1
2026-03-07,0,3,0%,1
2026-03-08,0,0,,
2026-03-09,0,1,0%,1
2026-03-10,1,3,33.33%,1
2026-03-11,0,0,,
2026-03-12,0,0,,
2026-03-13,0,0,,
2026-03-14,0,0,,
2026-03-15,0,2,0%,1.5
2026-03-16,0,1,0%,1
2026-03-17,2,3,66.67%,4
2026-03-18,0,2,0%,1
2026-03-19,2,4,50%,1
2026-03-20,1,1,100%,3
2026-03-21,0,2,0%,1.5
2026-03-22,0,2,0%,64.5
2026-03-23,1,10,10%,18.8
2026-03-24,0,4,0%,31.8
2026-03-25,1,4,25%,30.8
2026-03-26,0,1,0%,60
2026-03-27,0,2,0%,31.5
2026-03-28,0,2,0%,60
2026-03-29,0,1,0%,1
2026-03-30,0,5,0%,51.4
2026-03-31,0,2,0%,60.5
2026-04-01,0,2,0%,61.5
2026-04-02,0,2,0%,62
2026-04-03,0,3,0%,58.7
2026-04-04,0,1,0%,62
2026-04-05,0,1,0%,52
2026-04-06,0,3,0%,21.3
2026-04-07,0,11,0%,1.2
2026-04-08,0,0,,
2026-04-09,0,1,0%,1
2026-04-10,0,3,0%,48.3
2026-04-11,0,1,0%,73
2026-04-12,0,2,0%,36
2026-04-13,0,11,0%,12.5
2026-04-14,0,2,0%,63.5
2026-04-15,0,1,0%,66
2026-04-16,0,3,0%,64.3
2026-04-17,0,3,0%,60.7
2026-04-18,0,3,0%,37.3
2026-04-19,0,3,0%,40.3
2026-04-20,0,4,0%,30.8
2026-04-21,0,4,0%,31.8
2026-04-22,0,4,0%,31.5
2026-04-23,0,5,0%,47.8
2026-04-24,0,1,0%,59
2026-04-25,0,3,0%,64.3
2026-04-26,0,3,0%,41.7
2026-04-27,0,4,0%,30.2
2026-04-28,1,1,100%,1
2026-04-29,0,3,0%,21
2026-04-30,0,1,0%,62
2026-05-01,0,0,,
2026-05-02,0,1,0%,1
2026-05-03,0,0,,
2026-05-04,0,0,,
